A4GALT	NM_017436
TTYH2	NM_032646
TTYH3	NM_025250
TUB	NM_177972
TUBA1A	NM_006009
TUBA1B	NM_006082
TUBA1C	NM_032704
TUBA3C	NM_006001
TUBA3D	NM_080386
TUBA3E	NM_207312
TUBA4A	NM_006000
TUBA4B	NM_001355221
TUBA8	NM_018943
TUBAL3	NM_024803
TUBB	NM_178014
TUBB2A	NM_001069
TUBB2B	NM_178012
TUBB3	NM_006086
TUBB4A	NM_006087
TUBB4B	NM_006088
TUBB6	NM_032525
TUBB8	NM_177987
TUBD1	NM_016261
TUBE1	NM_016262
TUBG1	NM_001070
TUBG2	NM_016437
TUBGCP3	NM_006322
TUBGCP4	NM_014444
TUBGCP5	NM_052903
TUBGCP6	NM_020461
TUFM	NM_003321
TUFT1	NM_020127
TULP1	NM_003322
TULP2	NM_003323
TULP3	NM_003324
TULP4	NM_020245
TUSC3	NM_006765
TUT1	NM_022830
TUT4	NM_001009881
TUT7	NM_024617
TVP23A	NM_001079512
TVP23B	NM_016078
TWF1	NM_002822
TWF2	NM_007284
TWIST1	NM_000474
TWIST2	NM_001271893
TWISTNB	NM_001002926
TWNK	NM_021830
TWSG1	NM_020648
TXK	NM_003328
TXLNA	NM_175852
TXLNB	NM_153235
TXLNG	NM_018360
TXN	NM_003329
TXN2	NM_012473
TXNDC12	NM_015913
TXNDC15	NM_024715
TXNDC16	NM_020784
TXNDC17	NM_032731
TXNDC2	NM_032243
TXNDC5	NM_030810
TXNDC8	NM_001286946
TXNDC9	NM_005783
TXNIP	NM_006472
TXNL1	NM_004786
TXNL4A	NM_006701
TXNL4B	NM_017853
TXNRD1	NM_001093771
TYR	NM_000372
TYRO3	NM_006293
TYRP1	NM_000550
TYSND1	NM_173555
TYW1	NM_018264
TYW1B	NM_001145440
TYW3	NM_138467
TYW5	NM_001039693
U2AF1	NM_006758
U2AF1L4	NM_001040425
U2AF1L5	NM_001320646
U2SURP	NM_001080415
UACA	NM_018003
UAP1L1	NM_207309
UBA1	NM_003334
UBA2	NM_005499
UBA3	NM_003968
UBA5	NM_024818
UBA52	NM_001033930
UBA6	NM_018227
UBA7	NM_003335
UBAC1	NM_016172
UBAC2	NM_001144072
UBALD1	NM_145253
UBALD2	NM_182565
UBAP1	NM_016525
UBAP2	NM_001370062
UBAP2L	NM_014847
UBASH3A	NM_018961
UBASH3B	NM_032873
UBB	NM_018955
UBC	NM_021009
UBD	NM_006398
UBE2A	NM_003336
UBE2B	NM_003337
UBE2C	NM_007019
UBE2D1	NM_003338
UBE2D2	NM_003339
UBE2D3	NM_181891
UBE2D4	NM_015983
UBE2E1	NM_003341
UBE2E2	NM_152653
UBE2E3	NM_006357
UBE2F	NM_080678
UBE2G2	NM_003343
UBE2H	NM_003344
UBE2I	NM_003345
UBE2J1	NM_016021
UBE2J2	NM_058167
UBE2K	NM_005339
UBE2L3	NM_003347
UBE2L5	NM_001355247
UBE2L6	NM_004223
UBE2M	NM_003969
UBE2N	NM_003348
UBE2O	NM_022066
UBE2Q1	NM_017582
UBE2Q2	NM_173469
UBE2QL1	NM_001145161
UBE2R2	NM_017811
UBE2S	NM_014501
UBE2V1	NM_001032288
UBE2V2	NM_003350
UBE2W	NM_018299
UBE2Z	NM_023079
UBE3B	NM_130466
UBE3C	NM_014671
UBE3D	NM_198920
UBE4A	NM_001204077
UBE4B	NM_001105562
UBFD1	NM_019116
UBIAD1	NM_013319
UBL3	NM_007106
UBL4A	NM_014235
UBL4B	NM_203412
UBL5	NM_001048241
UBL7	NM_032907
UBLCP1	NM_145049
UBN1	NM_001079514
UBN2	NM_173569
UBOX5	NM_014948
UBP1	NM_014517
UBQLN1	NM_013438
UBQLN3	NM_017481
UBQLN4	NM_020131
UBQLNL	NM_145053
UBR1	NM_174916
UBR4	NM_020765
UBR5	NM_015902
UBR7	NM_175748
UBTD1	NM_024954
UBTD2	NM_152277
UBTF	NM_014233
UBTFL1	NM_001143975
UBXN1	NM_001286077
UBXN10	NM_152376
UBXN2A	NM_181713
UBXN2B	NM_001077619
UBXN4	NM_014607
UBXN6	NM_025241
UBXN7	NM_015562
UBXN8	NM_005671
UCHL1	NM_004181
UCHL3	NM_006002
UCK1	NM_031432
UCK2	NM_012474
UCKL1	NM_017859
UCMA	NM_145314
UCN	NM_003353
UCN2	NM_033199
UCN3	NM_053049
UCP1	NM_021833
UCP3	NM_003356
UEVLD	NM_001040697
UFC1	NM_016406
UFD1	NM_005659
UFL1	NM_015323
UFM1	NM_016617
UFSP1	NM_001015072
UFSP2	NM_018359
UGCG	NM_003358
UGDH	NM_003359
UGGT1	NM_020120
UGGT2	NM_020121
UGT1A4	NM_007120
UGT1A6	NM_001072
UGT1A9	NM_021027
UGT2A2	NM_001105677
UGT2A3	NM_024743
UGT2B10	NM_001075
UGT2B11	NM_001073
UGT2B15	NM_001076
UGT2B28	NM_053039
UGT2B4	NM_021139
UGT2B7	NM_001074
UGT3A1	NM_152404
UGT3A2	NM_174914
UGT8	NM_001128174
UHMK1	NM_175866
UHRF1	NM_001048201
UHRF1BP1	NM_017754
UHRF1BP1L	NM_015054
UHRF2	NM_152896
UIMC1	NM_001199298
ULBP1	NM_025218
ULBP2	NM_025217
ULBP3	NM_024518
ULK1	NM_003565
ULK2	NM_014683
ULK3	NM_001099436
ULK4	NM_017886
UMPS	NM_000373
UNC119	NM_005148
UNC119B	NM_001080533
UNC45A	NM_018671
UNC45B	NM_001267052
UNC50	NM_014044
UNC5A	NM_133369
UNC5B	NM_170744
UNC5C	NM_003728
UNC5CL	NM_173561
UNC5D	NM_080872
UNC80	NM_001371986
UNC93A	NM_018974
UNCX	NM_001080461
UNK	NM_001080419
UNKL	NM_001372107
UPB1	NM_016327
UPF1	NM_002911
UPF2	NM_015542
UPF3A	NM_023011
UPF3B	NM_080632
UPK1B	NM_006952
UPK2	NM_006760
UPK3A	NM_006953
UPK3BL1	NM_001114403
UPP1	NM_003364
UPP2	NM_173355
UPRT	NM_145052
UQCC1	NM_018244
UQCC2	NM_032340
UQCC3	NM_001085372
UQCR10	NM_013387
UQCR11	NM_006830
UQCRB	NM_006294
UQCRC1	NM_003365
UQCRC2	NM_003366
UQCRFS1	NM_006003
UQCRH	NM_006004
UQCRQ	NM_014402
URAD	NM_001105577
URB1	NM_014825
URB2	NM_014777
URGCP	NM_001077663
URI1	NM_003796
URM1	NM_030914
UROC1	NM_144639
UROS	NM_000375
USE1	NM_018467
USF1	NM_007122
USF2	NM_003367
USF3	NM_001009899
USH1C	NM_153676
USH2A	NM_206933
USHBP1	NM_031941
USO1	NM_003715
USP1	NM_003368
USP10	NM_005153
USP11	NM_001371072
USP12	NM_182488
USP13	NM_003940
USP14	NM_005151
USP15	NM_001252078
USP16	NM_006447
USP17L1	NM_001256873
USP17L10	NM_001256852
USP17L11	NM_001256854
USP17L12	NM_001256853
USP17L13	NM_001256855
USP17L17	NM_001256857
USP17L18	NM_001256859
USP17L19	NM_001256860
USP17L20	NM_001256861
USP17L21	NM_001256862
USP17L22	NM_001256863
USP17L24	NM_001242327
USP17L25	NM_001242326
USP17L26	NM_001242328
USP17L27	NM_001242330
USP17L28	NM_001242331
USP17L29	NM_001242332
USP17L3	NM_001256871
USP17L30	NM_001256867
USP17L4	NM_001256874
USP17L5	NM_001242329
USP17L7	NM_001256869
USP17L8	NM_001256872
USP18	NM_017414
USP2	NM_004205
USP20	NM_001110303
USP21	NM_001014443
USP22	NM_015276
USP24	NM_015306
USP27X	NM_001145073
USP3	NM_006537
USP30	NM_032663
USP32	NM_032582
USP33	NM_201624
USP34	NM_014709
USP35	NM_020798
USP37	NM_020935
USP38	NM_032557
USP39	NM_006590
USP4	NM_003363
USP43	NM_153210
USP44	NM_032147
USP45	NM_001346022
USP46	NM_022832
USP47	NM_001282659
USP48	NM_032236
USP50	NM_203494
USP6	NM_001304284
USP7	NM_003470
USP8	NM_005154
USP9X	NM_001039591
USP9Y	NM_004654
USPL1	NM_005800
UST	NM_005715
UTF1	NM_003577
UTP11	NM_016037
UTP14A	NM_006649
UTP14C	NM_021645
UTP15	NM_032175
UTP18	NM_016001
UTP20	NM_014503
UTP23	NM_032334
UTP25	NM_014388
UTP3	NM_020368
UTP4	NM_032830
UTP6	NM_018428
UTS2	NM_006786
UVRAG	NM_003369
UVSSA	NM_020894
UXS1	NM_001253875
UXT	NM_153477
VAC14	NM_018052
VAMP2	NM_014232
VAMP3	NM_004781
VAMP4	NM_003762
VAMP5	NM_006634
VAMP7	NM_005638
VAMP8	NM_003761
VANGL1	NM_138959
VANGL2	NM_020335
VAPA	NM_194434
VARS1	NM_006295
VARS2	NM_020442
VASH1	NM_014909
VASN	NM_138440
VASP	NM_003370
VAT1	NM_006373
VAT1L	NM_020927
VAV1	NM_005428
VAV2	NM_001134398
VAV3	NM_006113
VAX1	NM_001112704
VAX2	NM_012476
VBP1	NM_003372
VCAM1	NM_001078
VCAN	NM_004385
VCPIP1	NM_025054
VCPKMT	NM_024558
VCX2	NM_016378
VCX3A	NM_016379
VCX3B	NM_001001888
VCY1B	NM_181880
VDAC1	NM_003374
VDAC3	NM_005662
VDR	NM_000376
VEGFC	NM_005429
VEGFD	NM_004469
VENTX	NM_014468
VEPH1	NM_001167912
VEZF1	NM_007146
VEZT	NM_017599
VGF	NM_003378
VGLL1	NM_016267
VGLL2	NM_182645
VGLL3	NM_016206
VGLL4	NM_001128219
VHLL	NM_001004319
VIL1	NM_007127
VIM	NM_003380
VIP	NM_003381
VIPR1	NM_004624
VIPR2	NM_003382
VIRMA	NM_015496
VKORC1L1	NM_173517
VLDLR	NM_003383
VMAC	NM_001017921
VMO1	NM_182566
VMP1	NM_030938
VN1R2	NM_173856
VNN1	NM_004666
VOPP1	NM_030796
VPREB1	NM_007128
VPREB3	NM_013378
VPS11	NM_021729
VPS13A	NM_033305
VPS13C	NM_020821
VPS16	NM_022575
VPS18	NM_020857
VPS25	NM_032353
VPS26A	NM_004896
VPS26B	NM_052875
VPS26C	NM_006052
VPS28	NM_016208
VPS29	NM_016226
VPS33A	NM_022916
VPS35	NM_018206
VPS35L	NM_020314
VPS36	NM_016075
VPS37A	NM_152415
VPS37B	NM_024667
VPS37C	NM_017966
VPS37D	NM_001077621
VPS39	NM_015289
VPS41	NM_014396
VPS4A	NM_013245
VPS4B	NM_004869
VPS50	NM_017667
VPS51	NM_013265
VPS52	NM_022553
VPS53	NM_001128159
VPS54	NM_016516
VPS72	NM_005997
VPS8	NM_001009921
VPS9D1	NM_004913
VRK1	NM_003384
VRK2	NM_006296
VRK3	NM_016440
VRTN	NM_018228
VSIG1	NM_182607
VSIG10	NM_019086
VSIG2	NM_014312
VSIG4	NM_007268
VSIG8	NM_001013661
VSIR	NM_022153
VSNL1	NM_003385
VSTM1	NM_198481
VSTM2L	NM_080607
VSTM4	NM_001031746
VSTM5	NM_001144871
VSX1	NM_014588
VSX2	NM_182894
VTA1	NM_016485
VTCN1	NM_024626
VTI1A	NM_145206
VTI1B	NM_006370
VTN	NM_000638
VWA1	NM_022834
VWA2	NM_001272046
VWA3A	NM_173615
VWA3B	NM_144992
VWA5A	NM_001130142
VWA7	NM_025258
VWA8	NM_015058
VWC2	NM_198570
VWC2L	NM_001080500
VWCE	NM_152718
VWDE	NM_001135924
VXN	NM_152765
WAC	NM_016628
WAPL	NM_015045
WARS1	NM_004184
WARS2	NM_015836
WASF1	NM_003931
WASF2	NM_006990
WASF3	NM_006646
WASHC2A	NM_001005751
WASHC2C	NM_001330074
WASHC3	NM_016053
WASHC4	NM_015275
WASHC5	NM_014846
WASL	NM_003941
WBP1	NM_012477
WBP11	NM_016312
WBP1L	NM_001083913
WBP2	NM_012478
WBP2NL	NM_152613
WBP4	NM_007187
WDCP	NM_025203
WDFY1	NM_020830
WDFY2	NM_052950
WDFY3	NM_014991
WDHD1	NM_007086
WDPCP	NM_015910
WDR1	NM_017491
WDR11	NM_018117
WDR12	NM_018256
WDR13	NM_001347217
WDR18	NM_024100
WDR19	NM_025132
WDR20	NM_144574
WDR24	NM_032259
WDR3	NM_006784
WDR31	NM_001012361
WDR33	NM_018383
WDR35	NM_020779
WDR37	NM_014023
WDR4	NM_018669
WDR41	NM_018268
WDR43	NM_015131
WDR44	NM_019045
WDR45	NM_001029896
WDR45B	NM_019613
WDR46	NM_005452
WDR48	NM_020839
WDR53	NM_182627
WDR54	NM_032118
WDR59	NM_030581
WDR5B	NM_019069
WDR6	NM_018031
WDR60	NM_018051
WDR61	NM_025234
WDR62	NM_001083961
WDR63	NM_145172
WDR66	NM_144668
WDR70	NM_018034
WDR72	NM_182758
WDR73	NM_032856
WDR75	NM_032168
WDR76	NM_024908
WDR77	NM_024102
WDR78	NM_024763
WDR81	NM_001163809
WDR82	NM_025222
WDR83	NM_001099737
WDR83OS	NM_016145
WDR86	NM_198285
WDR87	NM_001291088
WDR88	NM_173479
WDR90	NM_145294
WDR91	NM_014149
WDR92	NM_138458
WDR93	NM_020212
WDR97	NM_001316309
WDSUB1	NM_001128212
WDTC1	NM_001276252
WDYHV1	NM_018024
WEE1	NM_003390
WEE2	NM_001105558
WFDC1	NM_021197
WFDC10A	NM_080753
WFDC11	NM_147197
WFDC12	NM_080869
WFDC13	NM_172005
WFDC2	NM_006103
WFDC3	NM_080614
WFDC8	NM_130896
WFDC9	NM_147198
WFIKKN1	NM_053284
WFIKKN2	NM_175575
WHAMM	NM_001080435
WIF1	NM_007191
WIPF2	NM_133264
WIPI1	NM_017983
WIPI2	NM_015610
WIZ	NM_001371589
WLS	NM_024911
WNK1	NM_018979
WNK4	NM_032387
WNT1	NM_005430
WNT10A	NM_025216
WNT10B	NM_003394
WNT11	NM_004626
WNT16	NM_057168
WNT2	NM_003391
WNT2B	NM_024494
WNT3	NM_030753
WNT3A	NM_033131
WNT4	NM_030761
WNT5B	NM_032642
WNT6	NM_006522
WNT7A	NM_004625
WNT7B	NM_058238
WNT8A	NM_001300939
WNT8B	NM_003393
WNT9A	NM_003395
WNT9B	NM_003396
WRAP73	NM_017818
WRNIP1	NM_020135
WSB1	NM_015626
WSB2	NM_018639
WSCD2	NM_014653
WTAP	NM_001270531
WTIP	NM_001080436
WWC1	NM_015238
WWC2	NM_024949
WWC3	NM_015691
WWOX	NM_016373
WWP1	NM_007013
WWTR1	NM_015472
XAB2	NM_020196
XAF1	NM_017523
XAGE1A	NM_001097594
XAGE2	NM_130777
XAGE3	NM_133179
XCL1	NM_002995
XCL2	NM_003175
XDH	NM_000379
XIRP1	NM_194293
XIRP2	NM_152381
XKR4	NM_052898
XKR5	NM_207411
XKR6	NM_173683
XKR7	NM_001011718
XKR8	NM_018053
XKR9	NM_001011720
XKRX	NM_212559
XPNPEP1	NM_020383
XPNPEP2	NM_003399
XPNPEP3	NM_022098
XPO1	NM_003400
XPO5	NM_020750
XPO6	NM_015171
XPO7	NM_015024
XPOT	NM_007235
XPR1	NM_004736
XRCC2	NM_005431
XRCC3	NM_005432
XRCC4	NM_003401
XRCC5	NM_021141
XRCC6	NM_001469
XRN2	NM_012255
XXYLT1	NM_152531
XYLB	NM_005108
XYLT1	NM_022166
XYLT2	NM_022167
YAE1	NM_020192
YAF2	NM_005748
YAP1	NM_001130145
YARS2	NM_001040436
YBEY	NM_001314025
YBX1	NM_004559
YBX2	NM_015982
YBX3	NM_003651
YDJC	NM_001017964
YEATS2	NM_018023
YEATS4	NM_006530
YES1	NM_005433
YIF1A	NM_020470
YIF1B	NM_001039672
YIPF1	NM_018982
YIPF2	NM_001321439
YIPF3	NM_015388
YIPF4	NM_032312
YIPF5	NM_030799
YIPF6	NM_173834
YJEFN3	NM_198537
YJU2	NM_018074
YKT6	NM_006555
YLPM1	NM_019589
YME1L1	NM_014263
YPEL1	NM_013313
YPEL2	NM_001005404
YPEL3	NM_031477
YPEL4	NM_145008
YPEL5	NM_016061
YRDC	NM_024640
YTHDC1	NM_001031732
YTHDC2	NM_022828
YTHDF1	NM_017798
YTHDF2	NM_016258
YTHDF3	NM_152758
YWHAB	NM_139323
YWHAE	NM_006761
YWHAG	NM_012479
YWHAH	NM_003405
YWHAQ	NM_006826
YWHAZ	NM_145690
YY1	NM_003403
YY2	NM_206923
ZACN	NM_180990
ZADH2	NM_175907
ZAN	NM_003386
ZAR1	NM_175619
ZAR1L	NM_001136571
ZBBX	NM_001199201
ZBED1	NM_001171136
ZBED2	NM_024508
ZBED3	NM_032367
ZBED4	NM_014838
ZBED5	NM_001143667
ZBED8	NM_022090
ZBED9	NM_052923
ZBP1	NM_030776
ZBTB10	NM_001105539
ZBTB11	NM_014415
ZBTB12	NM_181842
ZBTB14	NM_001243702
ZBTB16	NM_006006
ZBTB17	NM_003443
ZBTB18	NM_205768
ZBTB2	NM_020861
ZBTB20	NM_001348800
ZBTB21	NM_001098402
ZBTB22	NM_005453
ZBTB26	NM_020924
ZBTB3	NM_001370809
ZBTB32	NM_014383
ZBTB33	NM_001184742
ZBTB39	NM_014830
ZBTB4	NM_001128833
ZBTB40	NM_014870
ZBTB41	NM_194314
ZBTB42	NM_001137601
ZBTB43	NM_014007
ZBTB44	NM_001301098
ZBTB45	NM_001316979
ZBTB46	NM_001369741
ZBTB47	NM_145166
ZBTB48	NM_005341
ZBTB49	NM_145291
ZBTB5	NM_014872
ZBTB6	NM_006626
ZBTB7A	NM_015898
ZBTB7C	NM_001318841
ZBTB8A	NM_001040441
ZBTB8B	NM_001145720
ZBTB9	NM_152735
ZC2HC1A	NM_016010
ZC2HC1B	NM_001013623
ZC2HC1C	NM_024643
ZC3H10	NM_032786
ZC3H12A	NM_025079
ZC3H12C	NM_033390
ZC3H12D	NM_207360
ZC3H14	NM_024824
ZC3H15	NM_018471
ZC3H18	NM_144604
ZC3H3	NM_015117
ZC3H4	NM_015168
ZC3H6	NM_198581
ZC3H7A	NM_014153
ZC3H7B	NM_017590
ZC3H8	NM_032494
ZC3HAV1	NM_020119
ZC3HAV1L	NM_080660
ZC3HC1	NM_016478
ZC4H2	NM_018684
ZCCHC10	NM_001300816
ZCCHC12	NM_173798
ZCCHC13	NM_203303
ZCCHC14	NM_015144
ZCCHC17	NM_016505
ZCCHC18	NM_001143978
ZCCHC2	NM_017742
ZCCHC24	NM_153367
ZCCHC3	NM_033089
ZCCHC4	NM_024936
ZCCHC7	NM_032226
ZCCHC8	NM_017612
ZCCHC9	NM_001131035
ZCRB1	NM_033114
ZCWPW2	NM_001040432
ZDHHC1	NM_001323627
ZDHHC12	NM_032799
ZDHHC13	NM_019028
ZDHHC14	NM_024630
ZDHHC15	NM_144969
ZDHHC16	NM_198046
ZDHHC18	NM_032283
ZDHHC19	NM_001039617
ZDHHC2	NM_016353
ZDHHC20	NM_001330059
ZDHHC22	NM_174976
ZDHHC24	NM_207340
ZDHHC3	NM_001135179
ZDHHC5	NM_015457
ZDHHC6	NM_022494
ZDHHC7	NM_017740
ZDHHC8	NM_013373
ZDHHC9	NM_016032
ZEB2	NM_014795
ZER1	NM_006336
ZFAND1	NM_024699
ZFAND2A	NM_182491
ZFAND2B	NM_138802
ZFAND3	NM_021943
ZFAND4	NM_174890
ZFAND5	NM_001102420
ZFAND6	NM_019006
ZFAT	NM_020863
ZFC3H1	NM_144982
ZFHX2	NM_033400
ZFHX3	NM_006885
ZFHX4	NM_024721
ZFP1	NM_153688
ZFP14	NM_020917
ZFP2	NM_030613
ZFP28	NM_020828
ZFP3	NM_153018
ZFP36	NM_003407
ZFP36L1	NM_004926
ZFP36L2	NM_006887
ZFP37	NM_003408
ZFP41	NM_173832
ZFP42	NM_174900
ZFP57	NM_001109809
ZFP62	NM_001172638
ZFP64	NM_018197
ZFP69	NM_001320179
ZFP69B	NM_023070
ZFP82	NM_133466
ZFP90	NM_001305203
ZFP91	NM_053023
ZFPL1	NM_006782
ZFPM1	NM_153813
ZFPM2	NM_012082
ZFR	NM_016107
ZFR2	NM_015174
ZFY	NM_003411
ZFYVE1	NM_021260
ZFYVE16	NM_001284236
ZFYVE19	NM_001077268
ZFYVE21	NM_024071
ZFYVE26	NM_015346
ZFYVE28	NM_020972
ZG16	NM_152338
ZGPAT	NM_181485
ZHX1	NM_007222
ZHX2	NM_014943
ZIC1	NM_003412
ZIC3	NM_003413
ZIC4	NM_032153
ZIK1	NM_001010879
ZIM3	NM_052882
ZKSCAN1	NM_003439
ZKSCAN2	NM_001012981
ZKSCAN3	NM_024493
ZKSCAN4	NM_019110
ZKSCAN5	NM_145102
ZKSCAN7	NM_001288590
ZKSCAN8	NM_006298
ZMAT2	NM_144723
ZMAT3	NM_022470
ZMAT4	NM_024645
ZMAT5	NM_001003692
ZMIZ1	NM_020338
ZMIZ2	NM_031449
ZMYM1	NM_024772
ZMYM3	NM_201599
ZMYM4	NM_005095
ZMYM5	NM_001142684
ZMYM6	NM_007167
ZMYND10	NM_015896
ZMYND11	NM_001370100
ZMYND12	NM_032257
ZMYND15	NM_001136046
ZMYND19	NM_138462
ZNF10	NM_015394
ZNF100	NM_173531
ZNF101	NM_033204
ZNF114	NM_153608
ZNF12	NM_016265
ZNF132	NM_003433
ZNF134	NM_003435
ZNF135	NM_001289401
ZNF136	NM_003437
ZNF138	NM_001271639
ZNF14	NM_021030
ZNF141	NM_003441
ZNF143	NM_003442
ZNF148	NM_021964
ZNF155	NM_198089
ZNF157	NM_003446
ZNF16	NM_006958
ZNF165	NM_003447
ZNF169	NM_194320
ZNF174	NM_003450
ZNF175	NM_007147
ZNF18	NM_001303281
ZNF181	NM_001029997
ZNF182	NM_001007088
ZNF19	NM_006961
ZNF195	NM_001130520
ZNF197	NM_006991
ZNF2	NM_021088
ZNF20	NM_021143
ZNF200	NM_198088
ZNF202	NM_003455
ZNF205	NM_001042428
ZNF208	NM_007153
ZNF211	NM_006385
ZNF212	NM_012256
ZNF213	NM_004220
ZNF214	NM_013249
ZNF215	NM_013250
ZNF219	NM_016423
ZNF22	NM_006963
ZNF221	NM_001297588
ZNF222	NM_001129996
ZNF223	NM_013361
ZNF225	NM_013362
ZNF227	NM_182490
ZNF229	NM_014518
ZNF230	NM_006300
ZNF234	NM_006630
ZNF235	NM_004234
ZNF24	NM_006965
ZNF25	NM_145011
ZNF251	NM_138367
ZNF253	NM_021047
ZNF254	NM_203282
ZNF256	NM_005773
ZNF257	NM_033468
ZNF26	NM_019591
ZNF260	NM_001166037
ZNF263	NM_005741
ZNF264	NM_003417
ZNF267	NM_003414
ZNF268	NM_003415
ZNF274	NM_133502
ZNF275	NM_001367757
ZNF276	NM_001113525
ZNF277	NM_021994
ZNF28	NM_006969
ZNF280A	NM_080740
ZNF280B	NM_080764
ZNF280C	NM_017666
ZNF281	NM_001281293
ZNF282	NM_003575
ZNF283	NM_181845
ZNF284	NM_001037813
ZNF285	NM_152354
ZNF286A	NM_001130842
ZNF287	NM_020653
ZNF292	NM_015021
ZNF296	NM_145288
ZNF3	NM_032924
ZNF30	NM_194325
ZNF302	NM_001289187
ZNF304	NM_020657
ZNF316	NM_001278559
ZNF317	NM_020933
ZNF318	NM_014345
ZNF32	NM_006973
ZNF322	NM_024639
ZNF324	NM_014347
ZNF324B	NM_207395
ZNF326	NM_182976
ZNF329	NM_024620
ZNF330	NM_014487
ZNF333	NM_032433
ZNF335	NM_022095
ZNF337	NM_015655
ZNF33A	NM_006954
ZNF33B	NM_006955
ZNF34	NM_001286769
ZNF341	NM_001282933
ZNF343	NM_024325
ZNF345	NM_001242472
ZNF346	NM_012279
ZNF347	NM_032584
ZNF35	NM_003420
ZNF350	NM_021632
ZNF354A	NM_005649
ZNF354B	NM_058230
ZNF354C	NM_014594
ZNF358	NM_018083
ZNF362	NM_152493
ZNF365	NM_014951
ZNF366	NM_152625
ZNF367	NM_153695
ZNF382	NM_032825
ZNF385A	NM_015481
ZNF385B	NM_152520
ZNF385D	NM_024697
ZNF394	NM_032164
ZNF395	NM_018660
ZNF396	NM_001322286
ZNF397	NM_001135178
ZNF398	NM_170686
ZNF404	NM_001033719
ZNF408	NM_024741
ZNF410	NM_021188
ZNF414	NM_001146175
ZNF416	NM_017879
ZNF417	NM_152475
ZNF418	NM_133460
ZNF419	NM_024691
ZNF420	NM_144689
ZNF425	NM_001001661
ZNF426	NM_024106
ZNF428	NM_182498
ZNF429	NM_001001415
ZNF43	NM_003423
ZNF430	NM_025189
ZNF431	NM_133473
ZNF432	NM_014650
ZNF436	NM_001077195
ZNF440	NM_152357
ZNF441	NM_152355
ZNF442	NM_030824
ZNF443	NM_005815
ZNF444	NM_018337
ZNF445	NM_181489
ZNF446	NM_017908
ZNF449	NM_152695
ZNF45	NM_003425
ZNF451	NM_001031623
ZNF454	NM_001178089
ZNF460	NM_006635
ZNF461	NM_153257
ZNF462	NM_021224
ZNF467	NM_207336
ZNF468	NM_001008801
ZNF469	NM_001367624
ZNF470	NM_001001668
ZNF471	NM_020813
ZNF473	NM_015428
ZNF474	NM_207317
ZNF48	NM_001214909
ZNF480	NM_144684
ZNF483	NM_133464
ZNF484	NM_031486
ZNF485	NM_145312
ZNF486	NM_052852
ZNF488	NM_153034
ZNF490	NM_020714
ZNF491	NM_152356
ZNF492	NM_020855
ZNF493	NM_001076678
ZNF497	NM_198458
ZNF500	NM_021646
ZNF501	NM_001258280
ZNF502	NM_001134442
ZNF503	NM_032772
ZNF506	NM_001099269
ZNF507	NM_001136156
ZNF511	NM_145806
ZNF512	NM_032434
ZNF512B	NM_020713
ZNF513	NM_144631
ZNF514	NM_032788
ZNF516	NM_014643
ZNF518B	NM_053042
ZNF519	NM_145287
ZNF521	NM_015461
ZNF524	NM_153219
ZNF525	NM_001348156
ZNF526	NM_133444
ZNF527	NM_032453
ZNF528	NM_032423
ZNF529	NM_020951
ZNF532	NM_001375912
ZNF536	NM_014717
ZNF540	NM_001172225
ZNF543	NM_213598
ZNF546	NM_178544
ZNF547	NM_173631
ZNF548	NM_001172773
ZNF549	NM_001199295
ZNF551	NM_138347
ZNF552	NM_024762
ZNF554	NM_001102651
ZNF555	NM_152791
ZNF556	NM_024967
ZNF557	NM_024341
ZNF558	NM_144693
ZNF560	NM_152476
ZNF561	NM_152289
ZNF562	NM_001130031
ZNF563	NM_145276
ZNF564	NM_144976
ZNF565	NM_152477
ZNF568	NM_198539
ZNF569	NM_152484
ZNF57	NM_173480
ZNF570	NM_144694
ZNF571	NM_016536
ZNF572	NM_152412
ZNF574	NM_022752
ZNF576	NM_001145347
ZNF578	NM_001099694
ZNF579	NM_152600
ZNF580	NM_207115
ZNF581	NM_016535
ZNF583	NM_152478
ZNF584	NM_173548
ZNF585A	NM_001288800
ZNF585B	NM_152279
ZNF586	NM_017652
ZNF587	NM_032828
ZNF587B	NM_001376223
ZNF589	NM_016089
ZNF592	NM_014630
ZNF593	NM_015871
ZNF594	NM_032530
ZNF595	NM_182524
ZNF596	NM_001042416
ZNF599	NM_001007248
ZNF605	NM_183238
ZNF607	NM_032689
ZNF610	NM_001161425
ZNF611	NM_001161499
ZNF613	NM_001031721
ZNF614	NM_025040
ZNF615	NM_001199324
ZNF616	NM_178523
ZNF619	NM_001145093
ZNF620	NM_175888
ZNF621	NM_198484
ZNF622	NM_033414
ZNF623	NM_001261843
ZNF624	NM_020787
ZNF625	NM_145233
ZNF626	NM_001076675
ZNF627	NM_145295
ZNF628	NM_033113
ZNF629	NM_001080417
ZNF630	NM_001282201
ZNF638	NM_014497
ZNF639	NM_001303426
ZNF641	NM_001172681
ZNF644	NM_201269
ZNF646	NM_014699
ZNF648	NM_001009992
ZNF649	NM_023074
ZNF652	NM_001145365
ZNF653	NM_138783
ZNF654	NM_001350134
ZNF655	NM_138494
ZNF66	NM_001355197
ZNF660	NM_173658
ZNF662	NM_207404
ZNF664	NM_152437
ZNF665	NM_024733
ZNF667	NM_001321356
ZNF668	NM_024706
ZNF670	NM_033213
